LSA Lambda-Sagittariids  05/06 - 25/07 01/07  99.70 276.0 -25.0   1.00   0.00 23.0 2.60 <2  4
LVL Lambda-Velids II     18/01 - 26/01 22/01 269.70 133.0 -46.0   0.60  -0.20 35.0 3.00 <2  4
LYR Lyrids April         16/04 - 25/04 22/04  32.08 271.4  33.6   1.10   0.00 47.6 2.90 18  1
MON Monocerotids         27/11 - 17/12 09/12 257.00 100.0   8.0   0.80   0.00 43.0 3.00 2   2
MVI Mu-Virginids         01/04 - 12/05 25/04  35.70 221.0  -5.0   0.53  -0.30 29.0 0.00 <2  4
NDA Delta-Aquarids North 15/07 - 25/08 09/08 136.00 335.0  -5.0   0.70   0.20 42.3 3.42 <2  4
NEC Northern Eta-Cetids  14/08 - 15/09 02/09 159.70  20.0 -12.0   0.00   0.00  0.0 0.00 <2  4
NIA Iota-Aquarids North  11/08 - 31/08 20/08 147.00 327.0  -6.0   1.03   0.13 31.2 3.20 <2  4
NOP Northern Ophiuchids  25/04 - 31/05 13/05  49.70 249.0 -14.0   0.90  -0.10 30.0 2.90 <2  4
NPH Nu-Phoenicids        16/07 - 14/08 03/08 129.70  20.0 -43.0   0.00   0.00  0.0 0.00 <2  4
NPI Piscids North        25/09 - 19/10 12/10 199.70  26.0  14.0   0.00   0.00 29.0 0.00 <2  4
NSC Nu-Scorpiids         25/03 - 16/04 05/04  19.70 262.0 -36.0   0.00   0.00  0.0 0.00 <2  4
NTA Taurids North        01/10 - 25/11 12/11 230.00  58.0  22.0   0.90   0.20 29.2 2.30 5   2
OCC October Capricornids 20/09 - 14/10 03/10 189.70 303.0 -10.0   0.90   0.20 15.0 2.80 <2  4
OCE Omikron-Centaurids   31/01 - 19/02 11/02 322.70 177.0 -56.0   0.70  -0.30 51.0 2.80 <2  4
OCM Omega-Canis Majorids 17/12 - 04/01 27/12 275.70 108.0 -25.0   0.00   0.00  0.0 0.00 <2  4
ODR Omikron-Draconids    07/07 - 24/07 16/07 113.70 271.0  59.0   0.00   0.00 23.6 0.00 <2  4
ORI Orionids             02/10 - 07/11 21/10 208.40  94.5  15.8   0.70   0.10 67.0 2.90 23  1
ORN Chi-Orionids North   16/11 - 15/12 02/12 258.70  82.0  23.0   1.20   0.00 28.0 3.00 <2  4
ORS Chi-Orionids South   07/12 - 14/12 11/12 259.70  85.0  16.0   0.00   0.00 25.5 0.00 <2  4
OSC Omega-Scorpiids      23/05 - 15/06 04/06  73.70 243.0 -22.0   0.90  -0.10 23.0 3.00 <2  4
PAQ Phi-Aquarids         05/08 - 25/08 15/08 141.70 347.0  -1.0   0.00   0.00  0.0 0.00 <2  4
PAU Piscis Austrinids    15/07 - 10/08 28/07 125.00 341.0 -30.0   0.90   0.40 35.0 3.20 <2  4
PEG Pegasids             29/10 - 12/11 12/11 230.70 335.0  21.0   0.00   0.00 11.2 0.00 <2  4
PER Perseids             17/07 - 24/08 12/08 140.00  46.2  57.4   1.35   0.12 60.0 2.60 100 1
PHE July Phoenicids      10/07 - 16/07 13/07 111.00  32.0 -48.0   1.04   0.20 47.0 3.00 <2  4
PHO Phoenicids December  28/11 - 09/12 05/12 254.25  18.0 -53.0   0.60   0.40 18.0 2.80 var 3
PIP Pi-Puppids II        06/01 - 14/01 11/01 290.70 113.0 -43.0   0.50  -0.20 35.0 3.00 <2  4
PLE Psi-Leonids          14/01 - 23/02 29/01 301.70 143.1  17.0   0.00   0.00  0.0 0.00 <2  4
PPU Pi-Puppids           15/04 - 28/04 23/04  33.50 110.0 -45.0   0.40  -0.10 18.0 2.00 var 3
PUP Puppids-Velids       01/12 - 15/12 07/12 255.00 123.0 -45.0   0.50   0.00 40.0 2.90 10  2
QUA Quadrantids          01/01 - 05/01 03/01 283.40 230.1  48.5   0.40  -0.20 42.7 2.10 120 1
RSA Rho-Sagittariids     15/06 - 08/07 27/06  96.70 293.0 -17.0   0.00   0.00  0.0 0.00 <2  4
SAG Scorpio/Sagittariids 15/04 - 15/07 20/05  59.00 247.0 -22.0   0.90   0.00 30.0 2.30 <2  4
SDA Delta-Aquarids South 12/07 - 19/08 28/07 125.00 339.0 -16.0   0.70   0.18 41.4 3.20 20  1
SEC Southern Eta-Cetids  22/08 - 08/09 31/08 158.70  15.0 -20.0   0.00   0.00  0.0 0.00 <2  4
SEX Sextantids Daytime   24/09 - 05/10 29/09 184.70 152.0   0.0   0.00   0.00 32.2 0.00 <2  4
SIA Iota-Aquarids South  25/07 - 15/08 04/08 132.00 334.0 -15.0   1.07   0.18 33.8 2.90 <2  4
SLE Sigma-Leonids        21/03 - 13/05 17/04  27.70 195.0  -5.0   0.44   0.11 20.0 0.00 <2  4
SOP Southern Ophiuchids  13/05 - 26/05 20/05  56.70 258.0 -24.0   1.00   0.00 30.0 2.90 <2  4
SOR Sigma-Orionids       10/09 - 26/10 05/10 191.70  86.0  -3.0   0.80   0.00 65.0 3.00 <2  4
SPI Piscids South        01/09 - 30/09 20/09 177.00   5.0  -1.0   0.80   0.30 26.3 3.00 <2  4
SPU Sigma-Puppids II     27/11 - 12/12 06/12 253.70 102.0 -45.0   0.50   0.00 38.0 2.90 <2  4
STA Taurids South        01/10 - 25/11 05/11 223.00  52.0  13.0   0.79   0.20 27.0 2.30 5   2
TAQ Tau-Aquarids         19/06 - 05/07 30/06  99.70 343.0 -12.0   0.00   0.00  0.0 0.00 <2  4
TAU Taurids              01/10 - 25/11 12/11 230.00  52.0  16.0   0.77   0.12 28.0 2.30 <2  4
TCE Theta-Centaurids     23/01 - 12/03 02/02 312.70 210.0 -40.0   1.00  -0.30 60.0 2.60 <2  4
THE Tau-Herculids        19/05 - 14/06 03/06  72.70 228.0  39.0  -0.10   0.90 15.0 0.00 <2  4
TOP Theta-Ophiuchids     04/06 - 15/07 13/06  82.70 267.0 -20.0   0.90   0.00 26.7 2.80 <2  4
TPU Tau-Puppids          19/12 - 30/12 23/12 270.70 104.0 -50.0   0.40  -0.10 33.0 3.00 <2  4
URS Ursids               17/12 - 26/12 22/12 270.70 217.0  76.0   0.00   0.00 35.0 3.00 10  1
VEL Puppids/Velids       02/12 - 06/12 05/12 256.30 128.0 -45.0   0.00   0.00 41.0 0.00 <2  4
VIR Virginids            25/01 - 15/04 25/03   4.00 195.0  -4.0   0.70  -0.25 30.0 3.00 <2  4
WCA Omega-Capricornids   19/04 - 15/05 02/05  38.70 315.0 -22.0   0.00   0.00  0.0 0.00 <2  4
XOR Chi-Orionids North   26/11 - 15/12 02/12 250.00  82.0  23.0   1.00   0.00 30.0 3.00 <2  4
ZPU Zeta-Puppids         02/11 - 20/12 04/12 254.70 123.0 -43.0   0.00   0.00 41.0 0.00 <2  4
