Parumleo, WASP-32, TYC 2-1155-1, UCAC4 457-000340
Peacock, HR 7790
Petra, WASP-80, TYC 5165-481-1, UCAC4 440-112755
Phact, HR 1956
Phecda, HR 4554
Pherkad, HR 5735
Phoenicia, HD 192263, TYC 5161-868-1, UCAC4 446-126973
Piautos, HR 3268
Pincoya, HD 164604, TYC 6854-175-1, UCAC4 308-164030
Pipirima, HR 6252
Pipoltr, TrES-3, UCAC4 638-056421
Pleione, HR 1180
Poerava, HD 221287, TYC 8838-463-1, UCAC4 159-214835
Polaris, HR 424
Polaris Australis, HR 7228
Polis, HR 6812
Pollux, HR 2990
Porrima, HR 4825
Praecipua, HR 4247
Prima Hyadum, HR 1346
Procyon, HR 2943
Propus, HR 2216
Proxima Centauri, GJ 551, UCAC4 137-116050
Ran, HR 1084
Rana, HR 1136
Rapeto, HD 153950, TYC 7881-474-1, UCAC4 234-118013
Rasalas, HR 3905
Rasalgethi, HR 6406
Rasalhague, HR 6556
Rastaban, HR 6536
Regulus, HR 3982
Revati, HR 361
Rigel, HR 1713
Rigil Kentaurus, HR 5459
Rosaliadecastro, HD 149143, TYC 386-86-1, UCAC4 461-060916
Rotanev, HR 7882
Ruchbah, HR 403
Rukbat, HR 7348
Sabik, HR 6378
Saclateni, HR 1612
Sadachbia, HR 8518
Sadalbari, HR 8684
Sadalmelik, HR 8414
Sadalsuud, HR 8232
Sadr, HR 7796
Sagarmatha, HD 100777, TYC 4933-678-1, UCAC4 427-053715
Saiph, HR 2004
Salm, HR 8880
Sansuna, HAT-P-34, HD 351766, TYC 1622-1261-1, UCAC4 541-123477
Sargas, HR 6553
Sarin, HR 6410
Sceptrum, HR 1481
Scheat, HR 8775
Schedar, HR 168
Secunda Hyadum, HR 1373
Segin, HR 0542
Seginus, HR 5435
Sham, HR 7479
Shama, HD 99109, TYC 4923-464-1, UCAC4 443-054754
Sharjah, HIP 79431, TYC 6209-1322-1, UCAC4 356-077962
Shaula, HR 6527
Sheliak, HR 7106
Sheratan, HR 553
Sika, HD 181720, TYC 7428-2738-1, TYC 7428-2738-1
Sirius, HR 2491
Situla, HR 8610
Skat, HR 8709
Solaris, BD+14-4559, TYC 1117-615-1, UCAC4 524-140464
Spica, HR 5056
Sterrennacht, HAT-P-6, TYC 3239-992-1, UCAC4 663-119389
Stribor, HD 75898, TYC 2488-663-1, UCAC4 616-044859
Sualocin, HR 7906
Subra, HR 3852
Suhail, HR 3634
Sulafat, HR 7178
Syrma, HR 5338
Sāmaya, HD 205739, TYC 7487-1980-1, UCAC4 292-219333
Tabit, HR 1543
Taika, HAT-P-40, TYC 3607-1028-1, UCAC4 678-122982
Taiyangshou, HR 4518
Taiyi, HR 4916
Talitha, HR 3569
Tangra, WASP-21, UCAC4 542-146716
Tania Australis, HR 4069
Tania Borealis, HR 4033
Tapecue, HD 63765, TYC 8553-2637-1, UCAC4 179-013039
Tarazed, HR 7525
Tarf, HR 3249
Taygeta, HR 1145
Tegmine, HR 3208
Tejat, HR 2286
Terebellum, HR 7597
Tevel, HAT-P-9, TYC 2463-281-1, UCAC4 636-040823
Theemin, HR 1464
Thuban, HR 5291
Tiaki, HR 8636
Tianguan, HR 1910
Tianyi, HR 4863
Timir, HD 148427, TYC 5639-555-1, UCAC4 384-073474
Tislit, WASP-161, TYC 5435-1109-1, UCAC4 393-043064
Titawin, HR 458
Tojil, WASP-22, TYC 6446-326-1, UCAC4 331-003929
Toliman, HR 5460
Tonatiuh, HR 4609
Torcular, HR 510
