Lamarck	114.65	-23.12	289.94	AA
Moretus	114.45	-70.63	354.05	AA
Hevelius	113.87	2.2	292.54	AA
Rayleigh	113.77	29.12	89.45	AA
Hommel	113.6	-54.74	32.93	AA
Dorsa Barlow	112.57	14.04	30.57	DO
Rimae Römer	112	26.98	34.86	RI
Montes Teneriffe	111.98	47.89	346.81	MO
Sinus Honoris	111.61	11.72	17.87	SI
Gassendi	111.39	-17.55	320.04	AA
Alphonsus	110.54	-13.39	357.15	AA
Vallis Palitzsch	110.5	-26.16	64.64	VA
Helmholtz	110.16	-68.64	65.34	AA
Scheiner	110.07	-60.35	332.19	AA
Rimae Gerard	110	45.54	275.64	RI
Rimae Petavius	110	-25.23	60.48	RI
Maxwell	109.24	29.9	98.53	AA
Repsold	108.65	51.31	281.59	AA
Hermite	108.64	86.17	266.68	AA
Pascal	108.2	74.36	289.37	AA
Scott	107.82	-82.35	48.52	AA
Dorsum Scilla	107.52	32.34	300	DO
Vallis Capella	106.28	-7.39	35.04	VA
Blancanus	105.82	-63.77	338.37	AA
Rima Euler	104.97	21.08	329.69	RI
Phillips	104.21	-26.57	75.67	AA
Amundsen	103.39	-84.44	83.07	AA
Russell	103.37	26.51	284.45	AA
Dorsum Azara	103.2	26.86	19.17	DO
Dorsum Cloos	103.09	1.15	90.41	DO
Lacus Doloris	102.9	16.8	8.61	LC
Casatus	102.85	-72.7	329.25	AA
Piazzi	102.57	-36.16	291.99	AA
Gärtner	101.79	59.24	34.76	AA
Wilhelm	100.83	-43.21	339.06	AA
Plato	100.68	51.62	350.62	AA
Dorsa Rubey	100.64	-9.88	317.64	DO
Pitatus	100.63	-29.88	346.47	AA
Cabeus	100.58	-85.33	317.87	AA
Gilbert	100.25	-3.2	76.16	AA
Rimae Chacornac	100	29.01	31.24	RI
Rimae Ramsden	100	-32.93	328.68	RI
Rimae Plinius	100	17.05	23.14	RI
Dorsum Arduino	99.73	24.77	323.73	DO
Curtius	99.29	-67.08	4.4	AA
Banachiewicz	99.09	5.28	80.01	AA
Gerard	98.78	44.54	279.49	AA
Catharina	98.77	-17.98	23.55	AA
Theophilus	98.59	-11.45	26.28	AA
Lacus Felicitatis	98.48	18.52	5.36	LC
Cyrillus	98.09	-13.29	24.07	AA
Rimae Bürg	98	44.7	25.27	RI
Vestine	97.81	33.87	93.68	AA
Sacrobosco	97.67	-23.75	16.64	AA
Sikorsky	97.67	-65.89	103.65	AA
Byrd	97.49	85.43	10.07	AA
Arzachel	96.99	-18.26	358.07	AA
Fra Mauro	96.76	-6.06	343.03	AA
Copernicus	96.07	9.62	339.92	AA
Manzinus	95.97	-67.51	26.37	AA
Vallis Bohr	95.32	10.25	271.14	VA
Babcock	95.28	4.13	94.14	AA
Dorsum Cayeux	95.14	0.76	51.22	DO
Posidonius	95.06	31.88	29.99	AA
Alexander	94.8	40.25	13.69	AA
Inghirami	94.6	-47.49	291.05	AA
Boguslawsky	94.59	-72.9	43.26	AA
Rima Oppolzer	94.2	-1.53	1.28	RI
Rimae Maclear	94	12.23	19.9	RI
Barrow	93.82	71.28	7.59	AA
Vasco da Gama	93.52	13.78	276.06	AA
Goddard	93.18	15.15	89.13	AA
Arnold	93.13	66.98	35.83	AA
Montes Harbinger	92.7	26.89	318.71	MO
Dorsa Argand	91.94	28.29	319.66	DO
Rosenberger	91.65	-55.49	43.15	AA
Gruemberger	91.5	-67.04	349.7	AA
Ansgarius	91.42	-12.92	79.72	AA
Pontécoulant	91.4	-58.78	66.07	AA
Lomonosov	90.69	27.35	98.28	AA
Rima Archytas	90.18	53.63	3	RI
Brenner	90.01	-39.09	39.11	AA
Rimae Pitatus	90	-29.84	346.38	RI
Birmingham	89.92	65.12	349.3	AA
Dorsum Termier	89.65	11.63	57.15	DO
Rimae Apollonius	89.64	4.39	54.33	RI
Baillaud	89.44	74.61	37.35	AA
Vlacq	89.21	-53.39	38.69	AA
Laue	89.17	28.29	262.95	AA
Moseley	88.89	20.95	269.8	AA
Lagalla	88.78	-44.48	337.64	AA
Gemma Frisius	88.54	-34.33	13.37	AA
Lacus Gaudii	88.54	16.33	12.27	LC
Pingré	88.43	-58.64	286.05	AA
Atlas	88.12	46.74	44.38	AA
Piccolomini	87.58	-29.7	32.2	AA
Aristoteles	87.57	50.24	17.32	AA
Schlüter	87.55	-5.93	276.61	AA
Hahn	87.49	31.22	73.55	AA
Vieta	87.16	-29.31	303.47	AA
Rimae Alphonsus	87	-13.4	358.06	RI
Rimae Menelaus	87	17.1	17.77	RI
Wurzelbauer	86.77	-34.04	343.94	AA
Lacus Aestatis	86.39	-14.83	291.43	LC
Bell	86.33	21.98	263.47	AA
Hayn	86.21	64.56	83.87	AA
Snellius	85.98	-29.33	55.7	AA
Rupes Kelvin	85.92	-28.03	326.83	RU
Schomberger	85.8	-76.64	24.69	AA
Heraclitus	85.74	-49.31	6.42	AA
Dorsum Cushman	85.65	1.42	49.19	DO
Tycho	85.29	-43.3	348.78	AA
Cremona	85.12	67.24	269.14	AA
Desargues	84.85	70.25	286.58	AA
Julius Caesar	84.72	9.17	15.21	AA
Wargentin	84.69	-49.53	299.56	AA
Dorsum Bucher	84.65	30.76	320.45	DO
Byrgius	84.46	-24.73	294.62	AA
Mersenius	84.46	-21.49	310.66	AA
Hale	84.42	-74.13	91.71	AA
Neumayer	84.38	-71.16	70.92	AA
Lamé	84.28	-14.76	64.56	AA
Smoluchowski	84.26	60.22	263.09	AA
Rocca	84.06	-12.89	287.11	AA
Newton	83.85	-76.52	342.56	AA
Metius	83.81	-40.42	43.37	AA
Montes Recti	83.24	48.3	340.28	MO
Lamont	83.23	5.14	23.32	AA
