00052    6.48  0.15 K20CH 346.16834  343.26718  128.59930    7.47855  0.1105903  0.18101027   3.0950469  0 MPO600179  3308  85 1860-2021 0.54 M-v 3Ek Pan        0000     (52) Europa             20210310
00053    8.92  0.15 K20CH 203.56645  313.65133  143.47371    5.17571  0.2037099  0.23224183   2.6212539  0 MPO600179  3227  70 1866-2020 0.47 M-v 3Ek Pan        0000     (53) Kalypso            20201017
00054    7.83  0.15 K20CH 150.70942  345.11014  313.24514   11.79843  0.1972022  0.22073565   2.7115715  0 MPO600179  3006  62 1863-2021 0.47 M-v 3Ek Pan        0000     (54) Alexandra          20210320
00055    7.86  0.15 K20CH 129.96523    5.38612   10.36269    7.18005  0.1433915  0.21491781   2.7602883  0 MPO600179  3261  68 1863-2021 0.48 M-v 3Ek Pan        0000     (55) Pandora            20210315
00056    8.51  0.15 K20CH  28.00091  104.94092  192.95257    8.08134  0.2382822  0.23560424   2.5962548  0 MPO600179  3042  64 1865-2021 0.47 M-v 3Ek Pan        0000     (56) Melete             20210113
00057    7.00  0.15 K20CH 249.17162  210.40109  199.09091   15.19865  0.1115975  0.17569340   3.1571781  0 MPO600179  3112  88 1859-2020 0.47 M-v 3Ek Pan        0000     (57) Mnemosyne          20201111
00058    9.04  0.15 K20CH  71.05689   31.55671  161.09651    5.06600  0.0427115  0.22211361   2.7003451  0 MPO600179  3784  70 1864-2020 0.45 M-v 3Ek Pan        0000     (58) Concordia          20200928
00059    8.02  0.15 K20CH 292.01114  210.61621  169.95047    8.64263  0.1183216  0.22030791   2.7150802  0 MPO600179  2899  76 1863-2020 0.49 M-v 3Ek Pan        0000     (59) Elpis              20201120
00060    8.50  0.15 K20CH   8.27414  271.18875  191.54156    3.60033  0.1849690  0.26632272   2.3925659  0 MPO600179  3522  66 1861-2021 0.49 M-v 3Ek Pan        0000     (60) Echo               20210304
00061    7.66  0.15 K20CH  26.84753   12.50246  333.57289   18.21138  0.1647763  0.19128738   2.9831735  0 MPO600179  3478  66 1865-2021 0.57 M-v 3Ek Pan        0000     (61) Danae              20210306
00062    8.81  0.15 K20CH 345.75207  277.25877  125.12454    2.23662  0.1676142  0.17815818   3.1279913  0 MPO600179  3751  75 1906-2021 0.47 M-v 3Ek Pan        0000     (62) Erato              20210306
00063    7.45  0.15 K20CH 298.86299  296.14566  337.72161    5.77677  0.1269573  0.26595020   2.3947995  0 MPO600179  2890  71 1861-2021 0.56 M-v 3Ek Pan        0000     (63) Ausonia            20210319
00064    7.69  0.15 K20CH 172.35013  179.67487  309.09833    1.30953  0.1248194  0.22397771   2.6853415  0 MPO600179  2950  74 1861-2020 0.52 M-v 3Ek Pan        0000     (64) Angelina           20201110
00065    6.89  0.15 K20CH 354.07584  102.88663  155.61552    3.56404  0.1122112  0.15547499   3.4252770  0 MPO600179  3959  91 1861-2021 0.47 M-v 3Ek Pan        0000     (65) Cybele             20210303
00066    9.54  0.15 K20CH 156.65020   43.84020    7.49408    3.04628  0.1731414  0.22913386   2.6449037  0 MPO600179  3451  65 1861-2021 0.47 M-v 3Ek Pan        0000     (66) Maja               20210318
00067    8.38  0.15 K20CH  75.58501  106.90686  202.41073    6.02889  0.1850450  0.26159677   2.4212955  0 MPO600179  3210  64 1864-2021 0.49 M-v 3Ek Pan        0000     (67) Asia               20210310
00068    6.99  0.15 K20CH  28.99130  304.47250   44.07619    7.96174  0.1849861  0.21243039   2.7817939  0 MPO600179  2808  82 1861-2021 0.56 M-v 3Ek Pan        0000     (68) Leto               20210307
