    PK11A020  2021 12  1.6747  1.554443  0.499428   94.5298   54.6760    4.4751  20201215  16.5  4.0  P/2011 A2 (Scotti)                                       MPC 82317
    PK11C020  2012 01  2.3781  5.419755  0.268990  161.0016   12.1239   10.8851  20201215   9.0  4.0  P/2011 C2 (Gibbs)                                        MPC 84021
    PK11FE3R  2029 02 14.2557  3.764520  0.450986  350.1283  190.9507   15.9869  20201215  14.0  2.0  P/2011 FR143 (Lemmon)                                    MPC 79866
    PK11J15B  2012 01 23.9575  5.015729  0.318006  111.0010  153.5940   19.1466  20201215   9.0  4.0  P/2011 JB15 (Spacewatch-Boattini)                        MPC 82317
    CK11K36P  2016 05 27.7246  4.879713  0.874539  180.6611  173.2962   18.9844  20201215   4.5  4.0  C/2011 KP36 (Spacewatch)                                 MPEC 2020-AA5
    PK11N010  2028 01  2.9376  2.851865  0.543704  330.3378   77.6016   35.7146  20201215  11.5  4.0  P/2011 N1 (ASH)                                          MPC 87913
    PK11N01O  2024 01 15.9762  1.243583  0.774856  263.8235  295.7922   15.2489  20201215  15.0  4.0  P/2011 NO1 (Elenin)                                      MPC 75714
    PK11P010  2030 12 16.2981  5.026048  0.327025  348.8980    4.2393    5.6581  20201215   9.0  4.0  P/2011 P1 (McNaught)                                     MPC 82318
    PK11Q030  2022 08 19.4866  2.323289  0.532572  310.9775   32.0251    6.0569  20201215  13.5  4.0  P/2011 Q3 (McNaught)                                     MPC 77806
    PK11S010  2014 08 11.3431  6.868240  0.200227  192.4978  218.8996    2.6839  20201215   8.0  4.0  P/2011 S1 (Gibbs)                                        MPC 98558
    PK11UD4A  2025 02 18.5550  2.077560  0.629293   32.4528   40.4181   10.4425  20201215  17.5  4.0  P/2011 UA134 (Spacewatch-PANSTARRS)                      MPC 79022
    PK11V010  2018 10  2.1555  1.732308  0.550621  269.2539   46.8457    7.3767  20201215  15.5  4.0  P/2011 V1 (Boattini)                                     MPC 77406
    PK11W010  2022 02  7.7324  3.322302  0.287099  282.7385  161.7906    3.7187  20201215  11.5  4.0  P/2011 W1 (PANSTARRS)                                    MPC 82718
    PK11Y020  2027 10  6.9244  1.814037  0.709276  131.9280  309.3684    6.3714  20201215  15.0  4.0  P/2011 Y2 (Boattini)                                     MPC 79342
    PK12B010  2013 07 19.8692  3.853317  0.409718  162.5790   36.2030    7.6150  20201215   9.0  4.0  P/2012 B1 (PANSTARRS)                                    MPC 94669
    PK12C030  2011 10  6.7469  3.605925  0.630111  344.9542  135.3677    9.0920            13.0  4.0  P/2012 C3 (PANSTARRS)                                    MPC 78590
